"Time (UTC)","Google (Search)","Telescope (# Unique Source IPs)","BGP (#Visible /24s)","Active Probing (#/24s Up)"
"2022-09-24 03:15:00",,30.399274047186932,99.53910953315544,91.26528406404107
"2022-09-24 03:30:00",30.913993282636127,34.63399879007864,99.53910953315544,91.55914341687496
"2022-09-24 03:45:00",,43.04295220810646,99.53910953315544,92.00162129298116
"2022-09-24 04:00:00",37.03192984150358,53.478523895946765,99.53910953315544,92.34614605147605
"2022-09-24 04:15:00",,68.9957652752571,99.53910953315544,93.00141863135852
"2022-09-24 04:30:00",46.312719963012036,84.21052631578947,99.54351996824487,92.86631088292914
"2022-09-24 04:45:00",,84.57350272232304,99.54572518578958,93.14328176720934
"2022-09-24 05:00:00",56.194047555596605,79.85480943738656,99.53763938812564,93.71748969803419
"2022-09-24 05:15:00",,76.55777374470658,99.54351996824487,93.7782881848274
"2022-09-24 05:30:00",64.13232370006375,71.38535995160315,99.54351996824487,94.1329460244545
"2022-09-24 05:45:00",,67.7858439201452,99.54351996824487,94.4673377018172
"2022-09-24 06:00:00",69.28726193400013,69.23774954627949,99.54351996824487,94.74768627980815
"2022-09-24 06:15:00",,67.4531155474894,99.54204982321507,95.03479024522056
"2022-09-24 06:30:00",72.64049041464604,66.15245009074411,99.54131475070017,95.20705262446802
"2022-09-24 06:45:00",,65.60798548094373,99.54131475070017,95.56171046409511
"2022-09-24 07:00:00",74.94191073085418,62.00846944948578,99.54131475070017,96.01769911504425
"2022-09-24 07:15:00",,64.88203266787659,99.54057967818525,96.23724920624198
"2022-09-24 07:30:00",77.09876501188846,61.857229280096796,99.54131475070017,96.12916300749848
"2022-09-24 07:45:00",,62.82516636418632,99.53837446064054,96.32506924272107
"2022-09-24 08:00:00",77.0958840929893,61.91772534785239,99.53249388052132,96.2304938188205
"2022-09-24 08:15:00",,61.826981246219006,99.5310237354915,96.53448625278659
"2022-09-24 08:30:00",77.0923060214156,60.375075620084694,99.53175880800642,96.30480308045667
"2022-09-24 08:45:00",,62.97640653357532,99.53910953315544,96.59528473957981
"2022-09-24 09:00:00",75.23940875632479,60.526315789473685,99.53396402555111,96.53786394649732
"2022-09-24 09:15:00",,54.96067755595886,99.53396402555111,96.7911909748024
"2022-09-24 09:30:00",77.81805818306057,56.07985480943738,99.53249388052132,96.79456866851314
"2022-09-24 09:45:00",,55.14216575922565,99.53249388052132,96.93980949807471
"2022-09-24 10:00:00",80.53886050461536,53.72050816696915,99.53690431561073,96.87225562386003
"2022-09-24 10:15:00",,54.053236539624926,99.54057967818525,96.80470174964533
"2022-09-24 10:30:00",84.8913704123598,51.17967332123412,99.53616924309583,97.2134026886442
"2022-09-24 10:45:00",,47.39866908650938,99.54204982321507,97.52077281632101
"2022-09-24 11:00:00",87.20860372746633,45.31155474894131,99.52440808285738,97.57481591569277
"2022-09-24 11:15:00",,44.1016333938294,99.53396402555111,97.39242045531311
"2022-09-24 11:30:00",82.23239370754824,42.28675136116152,99.52587822788718,96.84185638046343
"2022-09-24 11:45:00",,41.04658197217181,99.52220286531266,96.89252178612443
"2022-09-24 12:00:00",80.7723248121026,38.08227465214761,99.51191185010401,96.6831047760589
"2022-09-24 12:15:00",,36.206896551724135,99.51632228519343,96.91278794838884
"2022-09-24 12:30:00",65.25843586945031,35.60193587416818,99.51264692261891,96.5243531716544
"2022-09-24 12:45:00",,35.75317604355717,99.51264692261891,96.65608322637304
"2022-09-24 13:00:00",66.6818294851298,34.875983061101024,99.51264692261891,96.32169154901034
"2022-09-24 13:15:00",,34.966727162734415,99.51264692261891,96.04809835844085
"2022-09-24 13:30:00",62.92113610722217,34.33151845130067,99.50309097992516,96.20684996284537
"2022-09-24 13:45:00",,33.39382940108892,99.5067663424997,96.06836452070526
"2022-09-24 14:00:00",58.47367262974742,32.365396249243794,99.01426775751428,96.23724920624198
"2022-09-24 14:15:00",,30.157289776164546,97.67349549033013,96.2777815307708
"2022-09-24 14:30:00",41.143315644990544,27.34422262552934,97.67349549033013,96.09876376410188
"2022-09-24 14:45:00",,30.157289776164546,97.57573084584794,95.69006282510301
"2022-09-24 15:00:00",18.441134182054228,27.586206896551722,97.53236156746863,95.78463824900358
"2022-09-24 15:15:00",,26.89050211736237,97.53236156746863,95.80490441126798
"2022-09-24 15:30:00",18.630084000704034,25.952813067150636,97.58308157099698,95.92312369114369
"2022-09-24 15:45:00",,27.041742286751365,97.67570070787484,95.79814902384652
"2022-09-24 16:00:00",19.901062099267808,25.257108287961284,97.67570070787484,95.99067756535837
"2022-09-24 16:15:00",,25.347852389594678,97.67570070787484,95.96027832196177
"2022-09-24 16:30:00",20.978120548946652,26.31578947368421,97.67202534530031,96.00081064649058
"2022-09-24 16:45:00",,25.952813067150636,97.6712902727854,96.28453691819226
"2022-09-24 17:00:00",21.78064114643106,23.805202661826982,97.67202534530031,95.95014524082957
"2022-09-24 17:15:00",,25.16636418632789,97.67349549033013,96.15618455718436
"2022-09-24 17:30:00",22.325445452754618,25.0151240169389,97.67349549033013,95.8454367357968
"2022-09-24 17:45:00",,26.406533575317603,97.67349549033013,95.85894751063974
"2022-09-24 18:00:00",23.13429689434091,24.561403508771928,97.67349549033013,95.8353036546646
"2022-09-24 18:15:00",,26.19479733817302,97.67349549033013,95.83868134837533
"2022-09-24 18:30:00",24.974169795837174,23.41197822141561,97.67349549033013,95.58873201378098
"2022-09-24 18:45:00",,25.075620084694496,97.67349549033013,95.78463824900358
"2022-09-24 19:00:00",26.145707639225733,24.258923169993952,97.6712902727854,96.02445450246572
"2022-09-24 19:15:00",,24.894131881427704,97.67349549033013,96.1494291697629
"2022-09-24 19:30:00",26.011623364516804,24.531155474894135,97.67349549033013,95.91636830372222
"2022-09-24 19:45:00",,23.351482153660015,97.67349549033013,96.00756603391204
"2022-09-24 20:00:00",25.737195721154094,24.773139745916513,97.67349549033013,96.34871309869621
"2022-09-24 20:15:00",,24.440411373260737,98.27625495255108,96.10889684523407
"2022-09-24 20:30:00",25.66830366126258,32.66787658802178,99.50235590741026,95.84205904208606
"2022-09-24 20:45:00",,31.457955232909857,99.5082364875295,95.77788286158211
"2022-09-24 21:00:00",58.68189690025848,29.28009679370841,99.5082364875295,95.39620347226914
"2022-09-24 21:15:00",,28.554143980641257,99.5082364875295,95.31851651692224
"2022-09-24 21:30:00",67.97449262922201,26.981246218995764,99.5082364875295,95.25096264270756
"2022-09-24 21:45:00",,29.24984875983061,99.5082364875295,95.14287644396407
"2022-09-24 22:00:00",57.38951825931804,29.431336963097394,99.5082364875295,94.97736945213808
"2022-09-24 22:15:00",,28.130671506352083,99.5082364875295,94.76457474836182
"2022-09-24 22:30:00",47.33217421988099,29.06836055656382,99.5082364875295,94.89292710936972
"2022-09-24 22:45:00",,27.31397459165154,99.5082364875295,94.4876038640816
"2022-09-24 23:00:00",41.09454128584791,27.31397459165154,99.5082364875295,93.89312977099237
"2022-09-24 23:15:00",,27.586206896551722,99.5082364875295,93.83908667162062
"2022-09-24 23:30:00",33.00497227062627,26.19479733817302,99.50382605244008,93.592515030737
"2022-09-24 23:45:00",,26.104053236539627,99.5082364875295,93.35945416469634
"2022-09-25 00:00:00",26.17884329379003,27.07199032062916,99.5082364875295,93.22096872255624
"2022-09-25 00:15:00",,26.709013914095582,99.50750141501459,92.58258461122746
"2022-09-25 00:30:00",21.17715869557313,24.83363581367211,99.50603126998479,92.42721070053368
"2022-09-25 00:45:00",,25.257108287961284,99.50603126998479,92.39343376342633
"2022-09-25 01:00:00",17.47416179407069,27.07199032062916,99.5082364875295,92.143484428832
"2022-09-25 01:15:00",,28.67513611615245,99.5082364875295,91.67060730932918
"2022-09-25 01:30:00",15.451890323387122,27.041742286751365,99.5082364875295,91.74829426467608
"2022-09-25 01:45:00",,26.678765880217785,99.50382605244008,91.69087347159359
"2022-09-25 02:00:00",15.525099904687348,27.858439201451908,99.5082364875295,91.38350334391677
"2022-09-25 02:15:00",,26.255293405928615,99.5082364875295,91.04911166655407
"2022-09-25 02:30:00",16.986461877722807,27.434966727162735,99.5082364875295,90.90387083699251
"2022-09-25 02:45:00",,24.773139745916513,99.5082364875295,91.17746402756198
"2022-09-25 03:00:00",20.45051842888955,28.10042347247429,99.5082364875295,91.16395325271904
"2022-09-25 03:15:00",,27.31397459165154,99.5082364875295,91.32608255083429
"2022-09-25 03:30:00",24.443697017448628,27.253478523895946,99.50603126998479,91.40376950618118
"2022-09-25 03:45:00",,29.61282516636419,99.5082364875295,91.86651354455178
"2022-09-25 04:00:00",30.238845515131587,28.947368421052627,99.5082364875295,91.977977437006
"2022-09-25 04:15:00",,28.10042347247429,99.5082364875295,92.2718367898399
